director,title,star,writer
Rob Reiner,Stand by Me,Wil Wheaton,Stephen King
John Hughes,Ferris Bueller's Day Off,Matthew Broderick,John Hughes
Tony Scott,Top Gun,Tom Cruise,Jim Cash
James Cameron,Aliens,Sigourney Weaver,James Cameron
Randal Kleiser,Flight of the Navigator,Joey Cramer,Mark H. Baker
Oliver Stone,Platoon,Charlie Sheen,Oliver Stone
Jim Henson,Labyrinth,David Bowie,Dennis Lee
David Lynch,Blue Velvet,Isabella Rossellini,David Lynch
Howard Deutch,Pretty in Pink,Molly Ringwald,John Hughes
David Cronenberg,The Fly,Jeff Goldblum,George Langelaan
Peter Faiman,Crocodile Dundee,Paul Hogan,Ken Shadie
Russell Mulcahy,Highlander,Christopher Lambert,Gregory Widen
David Seltzer,Lucas,Corey Haim,David Seltzer
John Carpenter,Big Trouble in Little China,Kurt Russell,Gary Goldman
Michael Mann,Manhunter,William Petersen,Thomas Harris
Adrian Lyne,9Ω Weeks,Mickey Rourke,Elizabeth McNeill
Stephen King,Maximum Overdrive,Emilio Estevez,Stephen King
Frank Oz,Little Shop of Horrors,Rick Moranis,Howard Ashman
Mike Marvin,The Wraith,Charlie Sheen,Mike Marvin
Willard Huyck,Howard the Duck,Lea Thompson,Steve Gerber
Stephen Herek,Critters,Dee Wallace,Domonic Muir
Alan Metter,Back to School,Rodney Dangerfield,Rodney Dangerfield
Tobe Hooper,The Texas Chainsaw Massacre 2,Dennis Hopper,L.M. Kit Carson
Clint Eastwood,Heartbreak Ridge,Clint Eastwood,James Carabatsos
Leonard Nimoy,Star Trek IV: The Voyage Home,William Shatner,Gene Roddenberry
John Badham,Short Circuit,Ally Sheedy,S.S. Wilson
Jean-Jacques Annaud,The Name of the Rose,Sean Connery,Umberto Eco
Sidney J. Furie,Iron Eagle,Louis Gossett Jr.,Kevin Alyn Elders
Michael Ritchie,The Golden Child,Eddie Murphy,Dennis Feldman
Tim Hunter,River's Edge,Crispin Glover,Neal Jimenez
John Landis,°Three Amigos!,Steve Martin,Steve Martin
George P. Cosmatos,Cobra,Sylvester Stallone,Paula Gosling
Jean-Jacques Beineix,Betty Blue,Jean-Hugues Anglade,Philippe Djian
Roland JoffÈ,The Mission,Robert De Niro,Robert Bolt
Martin Scorsese,The Color of Money,Paul Newman,Walter Tevis
John G. Avildsen,The Karate Kid Part II,Pat Morita,Robert Mark Kamen
Nick Castle,The Boy Who Could Fly,Lucy Deakins,Nick Castle
Robert Harmon,The Hitcher,Rutger Hauer,Eric Red
Richard Benjamin,The Money Pit,Tom Hanks,David Giler
Tom McLoughlin,Jason Lives: Friday the 13th Part VI,Thom Mathews,Tom McLoughlin
